date,sell bitcoin,isPartial,window_start,window_end
2015-01-02,0,False,2015-01-02,2015-06-30
2015-01-03,0,False,2015-01-02,2015-06-30
2015-01-04,34,False,2015-01-02,2015-06-30
2015-01-05,29,False,2015-01-02,2015-06-30
2015-01-06,30,False,2015-01-02,2015-06-30
2015-01-07,57,False,2015-01-02,2015-06-30
2015-01-08,58,False,2015-01-02,2015-06-30
2015-01-09,30,False,2015-01-02,2015-06-30
2015-01-10,0,False,2015-01-02,2015-06-30
2015-01-11,0,False,2015-01-02,2015-06-30
2015-01-12,0,False,2015-01-02,2015-06-30
2015-01-13,56,False,2015-01-02,2015-06-30
2015-01-14,57,False,2015-01-02,2015-06-30
2015-01-15,0,False,2015-01-02,2015-06-30
2015-01-16,30,False,2015-01-02,2015-06-30
2015-01-17,34,False,2015-01-02,2015-06-30
2015-01-18,33,False,2015-01-02,2015-06-30
2015-01-19,0,False,2015-01-02,2015-06-30
2015-01-20,0,False,2015-01-02,2015-06-30
2015-01-21,28,False,2015-01-02,2015-06-30
2015-01-22,28,False,2015-01-02,2015-06-30
2015-01-23,0,False,2015-01-02,2015-06-30
2015-01-24,33,False,2015-01-02,2015-06-30
2015-01-25,33,False,2015-01-02,2015-06-30
2015-01-26,28,False,2015-01-02,2015-06-30
2015-01-27,0,False,2015-01-02,2015-06-30
2015-01-28,28,False,2015-01-02,2015-06-30
2015-01-29,28,False,2015-01-02,2015-06-30
2015-01-30,0,False,2015-01-02,2015-06-30
2015-01-31,0,False,2015-01-02,2015-06-30
2015-02-01,0,False,2015-01-02,2015-06-30
2015-02-02,84,False,2015-01-02,2015-06-30
2015-02-03,55,False,2015-01-02,2015-06-30
2015-02-04,0,False,2015-01-02,2015-06-30
2015-02-05,28,False,2015-01-02,2015-06-30
2015-02-06,0,False,2015-01-02,2015-06-30
2015-02-07,67,False,2015-01-02,2015-06-30
2015-02-08,33,False,2015-01-02,2015-06-30
2015-02-09,28,False,2015-01-02,2015-06-30
2015-02-10,28,False,2015-01-02,2015-06-30
2015-02-11,28,False,2015-01-02,2015-06-30
2015-02-12,0,False,2015-01-02,2015-06-30
2015-02-13,0,False,2015-01-02,2015-06-30
2015-02-14,0,False,2015-01-02,2015-06-30
2015-02-15,34,False,2015-01-02,2015-06-30
2015-02-16,0,False,2015-01-02,2015-06-30
2015-02-17,29,False,2015-01-02,2015-06-30
2015-02-18,57,False,2015-01-02,2015-06-30
2015-02-19,0,False,2015-01-02,2015-06-30
2015-02-20,0,False,2015-01-02,2015-06-30
2015-02-21,33,False,2015-01-02,2015-06-30
2015-02-22,0,False,2015-01-02,2015-06-30
2015-02-23,0,False,2015-01-02,2015-06-30
2015-02-24,28,False,2015-01-02,2015-06-30
2015-02-25,28,False,2015-01-02,2015-06-30
2015-02-26,28,False,2015-01-02,2015-06-30
2015-02-27,0,False,2015-01-02,2015-06-30
2015-02-28,0,False,2015-01-02,2015-06-30
2015-03-01,32,False,2015-01-02,2015-06-30
2015-03-02,0,False,2015-01-02,2015-06-30
2015-03-03,55,False,2015-01-02,2015-06-30
2015-03-04,28,False,2015-01-02,2015-06-30
2015-03-05,28,False,2015-01-02,2015-06-30
2015-03-06,29,False,2015-01-02,2015-06-30
2015-03-07,33,False,2015-01-02,2015-06-30
2015-03-08,0,False,2015-01-02,2015-06-30
2015-03-09,84,False,2015-01-02,2015-06-30
2015-03-10,0,False,2015-01-02,2015-06-30
2015-03-11,28,False,2015-01-02,2015-06-30
2015-03-12,57,False,2015-01-02,2015-06-30
2015-03-13,29,False,2015-01-02,2015-06-30
2015-03-14,32,False,2015-01-02,2015-06-30
2015-03-15,0,False,2015-01-02,2015-06-30
2015-03-16,55,False,2015-01-02,2015-06-30
2015-03-17,56,False,2015-01-02,2015-06-30
2015-03-18,0,False,2015-01-02,2015-06-30
2015-03-19,28,False,2015-01-02,2015-06-30
2015-03-20,0,False,2015-01-02,2015-06-30
2015-03-21,0,False,2015-01-02,2015-06-30
2015-03-22,64,False,2015-01-02,2015-06-30
2015-03-23,0,False,2015-01-02,2015-06-30
2015-03-24,27,False,2015-01-02,2015-06-30
2015-03-25,0,False,2015-01-02,2015-06-30
2015-03-26,0,False,2015-01-02,2015-06-30
2015-03-27,29,False,2015-01-02,2015-06-30
2015-03-28,35,False,2015-01-02,2015-06-30
2015-03-29,0,False,2015-01-02,2015-06-30
2015-03-30,0,False,2015-01-02,2015-06-30
2015-03-31,0,False,2015-01-02,2015-06-30
2015-04-01,29,False,2015-01-02,2015-06-30
2015-04-02,29,False,2015-01-02,2015-06-30
2015-04-03,32,False,2015-01-02,2015-06-30
2015-04-04,35,False,2015-01-02,2015-06-30
2015-04-05,0,False,2015-01-02,2015-06-30
2015-04-06,30,False,2015-01-02,2015-06-30
2015-04-07,28,False,2015-01-02,2015-06-30
2015-04-08,0,False,2015-01-02,2015-06-30
2015-04-09,0,False,2015-01-02,2015-06-30
2015-04-10,0,False,2015-01-02,2015-06-30
2015-04-11,0,False,2015-01-02,2015-06-30
2015-04-12,66,False,2015-01-02,2015-06-30
2015-04-13,83,False,2015-01-02,2015-06-30
2015-04-14,27,False,2015-01-02,2015-06-30
2015-04-15,56,False,2015-01-02,2015-06-30
2015-04-16,28,False,2015-01-02,2015-06-30
2015-04-17,0,False,2015-01-02,2015-06-30
2015-04-18,0,False,2015-01-02,2015-06-30
2015-04-19,0,False,2015-01-02,2015-06-30
2015-04-20,0,False,2015-01-02,2015-06-30
2015-04-21,0,False,2015-01-02,2015-06-30
2015-04-22,0,False,2015-01-02,2015-06-30
2015-04-23,29,False,2015-01-02,2015-06-30
